#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5, 8.200000, 0.050000, 0.050000, 0.050000, 0.050000
10, 18.400000, 0.100000, 0.100000, 0.650000, 0.100000
15, 28.600000, 0.150000, 0.150000, 3.890000, 0.150000
20, 38.800000, 0.200000, 0.200000, 10.310000, 0.200000
25, 49.000000, 0.250000, 0.250000, 20.300000, 0.250000
30, 59.200000, 0.300000, 0.300000, 32.330000, 0.300000
35, 69.400000, 0.350000, 0.350000, 46.960000, 0.350000
40, 79.600000, 0.400000, 0.400000, 62.660000, 0.400000
45, 89.800000, 0.450000, 0.450000, 80.940000, 0.450000
50, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
55, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
60, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
65, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
70, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
75, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
80, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
85, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
90, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
95, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
100, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
